月份,IPO募资额(亿元),再融资额(亿元),解禁市值(亿元),重要股东净减持(亿元)
2026-01,,,,
2026-02,,,,
2026-03,,,,
2026-04,,,,
2026-05,,,,
2026-06,,,,
2026-07,,,,

